"wedding","chicago","2022-03-27 03:31:00.000000","00111111","09876543","1212"
"Studio Photoshoot","California","2021-03-27 03:31:00.000000","11111111","09876543","1234"
"family photoshoot","Alaska","2021-10-27 03:31:00.000000","66666666","32109876","2222"
"engagement","hawaii","2021-04-27 03:31:00.000000","11111111","98765432","2323"
"wedding","Cancun","2021-05-14 08:00:00.000000","22222222","98765432","2345"
"vacation","Iowa","2021-11-27 03:31:00.000000","77777777","21098765","3333"
"party","Washington","2021-05-27 03:31:00.000000","22222222","87654321","3434"
"engagement","Florida","2021-04-14 06:00:00.000000","33333333","87654321","3456"
"engagement","colorado","2021-12-27 03:31:00.000000","88888888","10987654","4444"
"birthday","florida","2021-06-27 03:31:00.000000","33333333","76543210","4545"
"wedding","Illinois","2021-03-10 03:31:00.000000","99999999","12345678","5555"
"sweet 16","virginia","2021-07-27 03:31:00.000000","44444444","65432109","5656"
"party","Maryland","2021-04-27 03:31:00.000000","10101010","23456789","6666"
"wedding","texas","2021-08-27 03:31:00.000000","55555555","54321098","6767"
"park event","wildwood","2021-04-27 03:31:00.000000","11111100","34567890","7777"
"wedding","New Jersey","2021-07-27 03:31:00.000000","00222222","56789012","7878"
"sport","NJIT","2021-05-27 03:31:00.000000","44444400","34567890","8888"
"engagement","New York","2021-08-27 03:31:00.000000","33333333","67890123","8989"
"wedding","Ohio","2021-09-27 03:31:00.000000","66666666","78901234","9094"
"wedding","Georgia","2021-10-27 03:31:00.000000","77777777","89012345","9098"
"wedding","Tennessee","2021-11-27 03:31:00.000000","11111111","90123456","9876"
"family photoshoot","hawaii","2021-06-27 03:31:00.000000","33333300","45678901","9999"
"party","school ","4/5/2023 5 pm","22222222","00000001","66494"
"school photoshoot","new jersey","4/2/2025 10:30 pm","00101010","90123456","92445"
"photoshoot","chicago","4/6/25 5pm","00101010","00000005","95237"
"t","t","t","00101010","00069890","99183"
